last_energy,proposed_energy
-27907.931842474034,-27907.94961801308
-27907.94961801308,-27908.3967384961
-27908.3967384961,-27908.312739295194
-27908.3967384961,-27908.321437300747
-27908.321437300747,-27908.38463745874
-27908.38463745874,-27908.180025511367
-27908.38463745874,-27908.63461169732
-27908.63461169732,-27908.24929090121
-27908.63461169732,-27908.49580597768
-27908.63461169732,-27908.527893774495
-27908.527893774495,-27908.402238309547
-27908.527893774495,-27908.632907865616
-27908.632907865616,-27908.76660742194
-27908.76660742194,-27908.788717043008
-27908.788717043008,-27908.821795011907
-27908.821795011907,-27908.385822381035
-27908.821795011907,-27908.40756389458
-27908.821795011907,-27908.63090227497
-27908.821795011907,-27909.17522729029
-27909.17522729029,-27909.19077301165
-27909.19077301165,-27909.11114150898
-27909.19077301165,-27909.25706259567
-27909.25706259567,-27909.17885350216
-27909.17885350216,-27909.590809442172
-27909.590809442172,-27909.32733932032
-27909.590809442172,-27909.785371597198
-27909.785371597198,-27909.521467484134
-27909.785371597198,-27909.443232548823
-27909.785371597198,-27909.604068920733
-27909.604068920733,-27909.647734145707
-27909.647734145707,-27910.146187827195
-27910.146187827195,-27910.160926747387
-27910.160926747387,-27909.848216253948
-27910.160926747387,-27910.205241791547
-27910.205241791547,-27909.886144591313
-27910.205241791547,-27909.805091073107
-27910.205241791547,-27910.20488372926
-27910.20488372926,-27910.191154428667
-27910.191154428667,-27909.990098901817
-27910.191154428667,-27910.20258332483
-27910.20258332483,-27909.761965767615
-27910.20258332483,-27910.067871341467
-27910.067871341467,-27909.75931526596
-27910.067871341467,-27909.867067229723
-27910.067871341467,-27910.11770178328
-27910.11770178328,-27910.307021891604
-27910.307021891604,-27910.192347474134
-27910.192347474134,-27910.30945553468
-27910.30945553468,-27910.500231679427
-27910.500231679427,-27910.655637653927
-27910.655637653927,-27910.944739404134
-27910.944739404134,-27910.665402086393
-27910.665402086393,-27910.41338922796
-27910.665402086393,-27910.27299061155
-27910.27299061155,-27910.31673078173
-27910.31673078173,-27910.011000503844
-27910.31673078173,-27909.95486269455
-27910.31673078173,-27910.284829638666
-27910.284829638666,-27910.41794863123
-27910.41794863123,-27910.072931603736
-27910.072931603736,-27910.38277662353
-27910.38277662353,-27910.539639516915
-27910.539639516915,-27910.2848434583
-27910.539639516915,-27910.229195235966
-27910.539639516915,-27910.59912039539
-27910.59912039539,-27910.253891493827
-27910.59912039539,-27910.532662465983
-27910.532662465983,-27910.560863964594
-27910.560863964594,-27910.250938365407
-27910.560863964594,-27910.662035886824
-27910.662035886824,-27910.674326420238
-27910.674326420238,-27910.871590584415
-27910.871590584415,-27911.344816665434
-27911.344816665434,-27911.626643583175
-27911.626643583175,-27911.135362050343
-27911.626643583175,-27911.40519507037
-27911.626643583175,-27911.751818889876
-27911.751818889876,-27911.658395115304
-27911.751818889876,-27911.530168604135
-27911.751818889876,-27911.70574927371
-27911.70574927371,-27911.136990713756
-27911.70574927371,-27911.842820712507
-27911.842820712507,-27911.47629261833
-27911.842820712507,-27911.699453464153
-27911.699453464153,-27911.46951018476
-27911.699453464153,-27911.50398624619
-27911.699453464153,-27911.651237003054
-27911.651237003054,-27911.552979405165
-27911.552979405165,-27911.646170563206
-27911.646170563206,-27910.890008969447
-27911.646170563206,-27911.347914841863
-27911.646170563206,-27911.049167649893
-27911.646170563206,-27911.61829600983
-27911.61829600983,-27911.35410130652
-27911.61829600983,-27911.751418009433
-27911.751418009433,-27911.504121163132
-27911.751418009433,-27911.702634714744
-27911.751418009433,-27911.351557095637
-27911.751418009433,-27911.689138909227
-27911.751418009433,-27911.590012488414
-27911.751418009433,-27911.578852465045
-27911.751418009433,-27911.800420125855
-27911.800420125855,-27911.54963680987
-27911.800420125855,-27911.628418635497
-27911.800420125855,-27911.575226237732
-27911.800420125855,-27911.50829505189
-27911.800420125855,-27911.137741346138
-27911.800420125855,-27911.828236467067
-27911.828236467067,-27911.89086335838
-27911.89086335838,-27911.396902603356
-27911.89086335838,-27911.284842106044
-27911.89086335838,-27911.626391187634
-27911.89086335838,-27911.76270134209
-27911.89086335838,-27911.959518922093
-27911.959518922093,-27911.874489027457
-27911.874489027457,-27911.5479743614
-27911.5479743614,-27911.60539634244
-27911.60539634244,-27911.10765589124
-27911.60539634244,-27911.488538903017
-27911.488538903017,-27911.25493727554
-27911.488538903017,-27911.68164349929
-27911.68164349929,-27911.42010638707
-27911.68164349929,-27911.38976843709
-27911.68164349929,-27911.934704473715
-27911.934704473715,-27911.579977277514
-27911.934704473715,-27911.362095375953
-27911.934704473715,-27911.510289647875
-27911.934704473715,-27912.086313469976
-27912.086313469976,-27911.91921653382
-27911.91921653382,-27911.52699422657
-27911.91921653382,-27912.04581414924
-27912.04581414924,-27912.04581414924
-27912.04581414924,-27912.0552123493
-27912.0552123493,-27911.881827822894
-27912.0552123493,-27912.00839358979
-27912.00839358979,-27911.929717522296
-27912.00839358979,-27911.727055437106
-27912.00839358979,-27912.14853027206
-27912.14853027206,-27912.050044687014
-27912.050044687014,-27911.692392220266
-27912.050044687014,-27912.00308845164
-27912.00308845164,-27911.82476625001
-27912.00308845164,-27912.089833677404
-27912.089833677404,-27911.60815747581
-27912.089833677404,-27912.08977335005
-27912.08977335005,-27911.94909502436
-27912.08977335005,-27911.85163848693
-27912.08977335005,-27911.626695711162
-27912.08977335005,-27912.096573679508
-27912.096573679508,-27912.141616244997
-27912.141616244997,-27911.792341607055
-27912.141616244997,-27911.70490944293
-27912.141616244997,-27912.18689252973
-27912.18689252973,-27911.987838845176
-27912.18689252973,-27911.456683033113
-27912.18689252973,-27911.404887102148
-27912.18689252973,-27912.01330199194
-27912.18689252973,-27912.113093284926
-27912.18689252973,-27911.401992708314
-27912.18689252973,-27911.86864150501
-27912.18689252973,-27912.040531184004
-27912.040531184004,-27911.48418005645
-27912.040531184004,-27911.842398025674
-27912.040531184004,-27911.599100374762
-27912.040531184004,-27912.15606772728
-27912.15606772728,-27911.7852686104
-27912.15606772728,-27912.286430954508
-27912.286430954508,-27912.176198603305
-27912.286430954508,-27912.25795341555
-27912.25795341555,-27912.32712792868
-27912.32712792868,-27911.936610254135
-27911.936610254135,-27911.717153376452
-27911.936610254135,-27911.559430638066
-27911.936610254135,-27911.819436062964
-27911.819436062964,-27911.762097269304
-27911.762097269304,-27911.485584072725
-27911.762097269304,-27911.787276725037
-27911.787276725037,-27911.407352954247
-27911.787276725037,-27911.096469763783
-27911.787276725037,-27911.536734878635
-27911.787276725037,-27911.63869945673
-27911.63869945673,-27911.128324811205
-27911.63869945673,-27911.350718161935
-27911.63869945673,-27911.54906974943
-27911.63869945673,-27911.723623158163
-27911.723623158163,-27911.538670008056
-27911.723623158163,-27911.508041776407
-27911.723623158163,-27911.411904576446
-27911.723623158163,-27911.44646438861
-27911.723623158163,-27911.690709403014
-27911.690709403014,-27911.92802682117
-27911.92802682117,-27911.6292196602
-27911.92802682117,-27911.286724269117
-27911.92802682117,-27911.681077281413
-27911.92802682117,-27911.68707997284
-27911.92802682117,-27911.934285495274
-27911.934285495274,-27911.913914661025
-27911.934285495274,-27911.272541395774
-27911.934285495274,-27911.782179943526
-27911.782179943526,-27911.926015730194
-27911.926015730194,-27911.80275798743
-27911.926015730194,-27911.45993977776
-27911.926015730194,-27912.1860668885
-27912.1860668885,-27912.115173496837
-27912.1860668885,-27912.24019452337
-27912.24019452337,-27911.909436956656
-27912.24019452337,-27911.95414217144
-27912.24019452337,-27911.924268951276
-27912.24019452337,-27911.867405692516
-27912.24019452337,-27912.123102464597
-27912.24019452337,-27911.87804630646
-27912.24019452337,-27912.241123757907
-27912.241123757907,-27911.779387101393
-27912.241123757907,-27912.01389790305
-27912.241123757907,-27912.064415230365
-27912.241123757907,-27912.28558794514
-27912.28558794514,-27912.340478285543
-27912.340478285543,-27912.169443785504
-27912.340478285543,-27912.453722563016
-27912.453722563016,-27912.179024186455
-27912.453722563016,-27912.092468774976
-27912.453722563016,-27912.143619277773
-27912.453722563016,-27912.188993020245
-27912.453722563016,-27912.101090124073
-27912.101090124073,-27911.95023133355
-27912.101090124073,-27911.606890718915
-27912.101090124073,-27911.463633309166
-27912.101090124073,-27911.660110783414
-27912.101090124073,-27912.02311616813
-27912.101090124073,-27912.049049861966
-27912.049049861966,-27911.809868028537
-27912.049049861966,-27911.777168288678
-27912.049049861966,-27911.98958941062
-27911.98958941062,-27911.52111223761
-27911.98958941062,-27912.102613806986
-27912.102613806986,-27912.075569412988
-27912.075569412988,-27911.970779623956
-27912.075569412988,-27912.377461032556
-27912.377461032556,-27912.14540355163
-27912.377461032556,-27912.40910959405
-27912.40910959405,-27912.365140389473
-27912.40910959405,-27912.50508950634
-27912.50508950634,-27912.833356788913
-27912.833356788913,-27912.827274170922
-27912.827274170922,-27913.115330459368
-27913.115330459368,-27913.115330459368
-27913.115330459368,-27913.234378741534
-27913.234378741534,-27912.76328004919
-27913.234378741534,-27913.213234208633
-27913.213234208633,-27913.29939258441
-27913.29939258441,-27913.18943787794
-27913.29939258441,-27913.224614155046
-27913.29939258441,-27913.441073907907
-27913.441073907907,-27913.157058364064
-27913.441073907907,-27913.21000199431
-27913.441073907907,-27913.18214149573
-27913.441073907907,-27913.58739995346
-27913.58739995346,-27913.72577911174
-27913.72577911174,-27913.70533551094
-27913.70533551094,-27913.7251847687
-27913.7251847687,-27913.8097806567
-27913.8097806567,-27913.89534825777
-27913.89534825777,-27913.58975266765
-27913.58975266765,-27913.275911190613
-27913.58975266765,-27913.544044046575
-27913.544044046575,-27913.503539294812
-27913.503539294812,-27913.155637125037
-27913.503539294812,-27913.023071429365
-27913.503539294812,-27913.32458346726
-27913.503539294812,-27913.351902560404
-27913.351902560404,-27913.182679689722
-27913.351902560404,-27912.82931638443
-27913.351902560404,-27913.303625002445
-27913.303625002445,-27912.876474930676
-27913.303625002445,-27913.226600454615
-27913.226600454615,-27913.045211666034
-27913.226600454615,-27913.038450129323
-27913.226600454615,-27913.278962817567
-27913.278962817567,-27912.966679074656
-27913.278962817567,-27913.50763894029
-27913.50763894029,-27913.158867307884
-27913.50763894029,-27913.169140109712
-27913.50763894029,-27913.277053929454
-27913.50763894029,-27913.38373479142
-27913.50763894029,-27912.831387119008
-27913.50763894029,-27913.0583278817
-27913.50763894029,-27913.265754521304
-27913.50763894029,-27913.07450930855
-27913.50763894029,-27913.121810766326
-27913.50763894029,-27913.345414227984
-27913.50763894029,-27913.13335442021
-27913.50763894029,-27913.397423327824
-27913.50763894029,-27913.534816160383
-27913.534816160383,-27913.299470697995
-27913.299470697995,-27913.033697449853
-27913.299470697995,-27913.1049510887
-27913.299470697995,-27912.829336055103
-27913.299470697995,-27913.077519095088
-27913.299470697995,-27912.817978870415
-27913.299470697995,-27913.20136248059
-27913.20136248059,-27913.2298496425
-27913.2298496425,-27913.06181340831
-27913.06181340831,-27912.73378704567
-27913.06181340831,-27912.906395942475
