swap_number,iter
0,0
1,1
2,2
3,5
4,8
5,9
6,12
7,17
8,18
9,21
10,29
11,30
12,34
13,41
14,47
15,49
16,50
17,53
18,55
19,56
20,60
21,63
22,72
23,75
24,90
25,91
26,101
27,116
28,122
29,123
30,126
31,127
32,132
33,133
34,136
35,140
36,143
37,150
38,153
39,155
40,165
41,175
42,179
43,183
44,185
45,208
46,217
47,221
48,223
49,249
50,266
51,272
52,273
53,283
54,289
55,298
56,303
57,308
58,319
59,327
60,329
61,331
62,332
63,343
64,345
65,350
66,352
67,353
68,369
69,373
70,402
71,414
72,416
73,423
74,432
75,447
76,454
77,496
78,504
79,517
80,528
81,539
82,582
83,583
84,612
85,615
86,665
87,674
88,701
89,716
90,717
91,728
92,809
93,816
94,824
95,845
96,858
97,891
98,920
99,952
100,963
101,971
102,988
103,997
104,1018
105,1030
106,1053
107,1114
108,1123
109,1129
110,1131
111,1192
112,1221
113,1275
114,1304
115,1365
116,1414
117,1428
118,1435
119,1474
120,1476
121,1482
122,1518
123,1545
124,1552
125,1559
126,1583
127,1667
128,1675
129,1699
130,1709
131,1728
132,1732
133,1746
134,1747
135,1858
136,1885
137,1896
138,1914
139,1928
140,1935
141,1956
142,1959
143,2029
144,2060
145,2072
146,2101
147,2115
148,2121
149,2128
150,2185
151,2208
152,2265
153,2266
154,2312
155,2349
156,2364
157,2380
158,2413
159,2482
160,2505
161,2518
162,2521
163,2548
164,2557
165,2558
166,2576
167,2601
168,2608
169,2616
170,2653
171,2678
172,2802
173,2825
174,2849
175,2883
176,2892
177,2928
178,3110
179,3209
180,3235
181,3268
182,3282
183,3286
184,3311
185,3330
186,3358
187,3371
188,3467
189,3470
190,3480
191,3502
192,3506
193,3509
194,3565
195,3569
196,3611
197,3636
198,3645
199,3663
200,3725
201,3795
202,3850
203,3855
204,3856
205,3878
206,3880
207,4121
208,4141
209,4177
210,4225
211,4236
212,4255
213,4307
214,4310
215,4341
216,4359
217,4366
218,4391
219,4394
220,4422
221,4426
222,4427
223,4435
224,4477
225,4486
226,4503
227,4515
228,4520
229,4521
230,4570
231,4572
232,4587
233,4635
234,4656
235,4691
236,4698
237,4739
238,4745
239,4869
240,4886
241,4906
242,4920
243,4953
244,4999
245,5017
246,5024
247,5043
248,5047
249,5054
250,5092
251,5094
252,5125
253,5182
254,5259
255,5276
256,5320
257,5396
258,5416
259,5437
260,5479
261,5685
262,5808
263,5819
264,5873
265,5905
266,5995
267,6002
268,6038
269,6046
270,6220
271,6244
272,6262
273,6363
274,6381
275,6428
276,6715
277,6814
278,6886
279,6906
280,6942
281,7036
282,7153
283,7406
284,7426
285,7497
286,7535
287,7619
288,7786
289,7824
290,8030
291,8060
292,8188
293,8236
294,8362
295,8791
296,8842
297,9127
298,9138
299,9230
300,9238
301,9533
302,9534
303,9820
