iter,delta_E_meV_per_atom
0,0.0000000000
4,0.0005209911
14,-0.0020082765
30,-0.0401738160
57,-0.0440972235
59,-0.0837918996
71,-0.0972475500
78,-0.1276229070
98,-0.1316870850
108,-0.1360928020
113,-0.1715982148
120,-0.1976650983
128,-0.2177023566
140,-0.2248480067
144,-0.2472732301
147,-0.2727565195
162,-0.3001870672
217,-0.3080918548
254,-0.3087590460
263,-0.3094713853
269,-0.2911693153
292,-0.2913087603
295,-0.2994210330
328,-0.3144181898
334,-0.3530737210
373,-0.3390911006
381,-0.3378115877
408,-0.3670100011
429,-0.4054132544
436,-0.4044826764
447,-0.4069433626
457,-0.4107407365
473,-0.4358535592
530,-0.4528950546
535,-0.4699658493
554,-0.5001916223
593,-0.5018576903
609,-0.5048467686
619,-0.5164769576
638,-0.5155332925
660,-0.5347107556
696,-0.5425247727
711,-0.5477962447
717,-0.5479724264
800,-0.5480595250
831,-0.5415955061
859,-0.5566929324
892,-0.5774692643
896,-0.5851726209
904,-0.5939611751
966,-0.5961917813
969,-0.5773231049
982,-0.5872636902
986,-0.5985289090
998,-0.6029312128
1020,-0.6071437971
1022,-0.6175538037
1050,-0.6197554524
1068,-0.6705033856
1077,-0.6775124785
1131,-0.6880952382
1135,-0.7070246609
1136,-0.7026373175
1149,-0.7047166775
1162,-0.7229357416
1201,-0.7285242251
1222,-0.7518740211
1223,-0.7601251421
1266,-0.7776636938
1271,-0.7931492483
1284,-0.8063441889
1291,-0.8230777230
1302,-0.8307305024
1328,-0.8327076055
1332,-0.8583254547
1353,-0.8599179253
1363,-0.8968075920
1393,-0.9106171079
1394,-0.9231494546
1432,-0.9251911919
1496,-0.9350986342
1540,-0.9364140221
1573,-0.9568797380
1589,-0.9795550661
1595,-0.9823091614
1682,-0.9794798521
1688,-1.0083825672
1710,-1.0176656472
1721,-1.0416032988
1759,-1.0599339368
1786,-1.0836812803
1791,-1.1090273216
1797,-1.1114804535
1810,-1.0977887182
1848,-1.1124995632
1897,-1.1136642763
1937,-1.1202951633
1946,-1.1282571035
1999,-1.1168188279
2095,-1.1089314915
2108,-1.1056572124
2175,-1.1059192477
2214,-1.0785836285
2236,-1.0503099033
2268,-1.0608838872
2278,-1.0532413254
2299,-1.0385065962
2347,-1.0373464625
2362,-1.0442033965
2373,-1.0542016321
2378,-1.0533292670
2382,-1.0751910093
2416,-1.0783012532
2436,-1.0966850530
2461,-1.1149960049
2479,-1.1068043799
2509,-1.1057656531
2510,-1.1078150472
2553,-1.1282980119
2577,-1.1259163686
2631,-1.1527172744
2682,-1.1556954231
2694,-1.1612064926
2747,-1.1486722534
2752,-1.1560045965
2785,-1.1594001964
2801,-1.1525958131
2803,-1.1372699471
2808,-1.1466944149
2823,-1.1597889691
2833,-1.1520370548
2873,-1.1508225881
2884,-1.1759313361
2895,-1.1986547928
2897,-1.2058107170
2915,-1.2151746210
2925,-1.2124221855
2936,-1.2172112471
2957,-1.2107733980
2964,-1.2038232499
2982,-1.2074358331
2989,-1.2370407538
2996,-1.2400438682
3006,-1.2495485639
3023,-1.2547500324
3034,-1.2842380787
3039,-1.3080357075
3101,-1.2977748816
3136,-1.2984497074
3143,-1.2860960905
3177,-1.3073389327
3183,-1.3175384968
3184,-1.3161822894
3203,-1.3332117180
3242,-1.3439882743
3245,-1.3414473090
3272,-1.3430665893
3289,-1.3356568924
3306,-1.3458927382
3323,-1.3437896131
3343,-1.3377135901
3366,-1.3368291931
3375,-1.3360809865
3390,-1.3656515433
3412,-1.3640702369
3418,-1.3551006215
3442,-1.3567080484
3477,-1.4084214803
3492,-1.4112152209
3545,-1.4211836671
3551,-1.4746531007
3593,-1.4696275403
3594,-1.4766197879
3600,-1.4930653528
3629,-1.4972451496
3631,-1.5140560084
3633,-1.5322541729
3651,-1.5309606478
3653,-1.5344795121
3663,-1.5400705941
3686,-1.5540158964
3694,-1.5643769221
3718,-1.5686033123
3724,-1.5785327311
3728,-1.5837897290
3780,-1.5599932242
3805,-1.5533629452
3808,-1.5561265934
3831,-1.5511514631
3886,-1.5607195071
3894,-1.5915396005
3905,-1.5940582277
3917,-1.6221033442
3947,-1.6447284429
