accepted_step,all_cluster_sum,largest_cluster_size,surface_volume_ratio
0.000000000000000000e+00,3.610000000000000000e+02,2.010000000000000000e+02,3.144278606965174028e+00
1.000000000000000000e+00,3.610000000000000000e+02,2.040000000000000000e+02,3.137254901960784270e+00
2.000000000000000000e+00,3.610000000000000000e+02,2.030000000000000000e+02,3.123152709359605872e+00
3.000000000000000000e+00,3.640000000000000000e+02,2.140000000000000000e+02,3.121495327102803863e+00
4.000000000000000000e+00,3.630000000000000000e+02,2.080000000000000000e+02,3.144230769230769162e+00
5.000000000000000000e+00,3.610000000000000000e+02,1.970000000000000000e+02,3.126903553299492433e+00
6.000000000000000000e+00,3.610000000000000000e+02,1.970000000000000000e+02,3.126903553299492433e+00
7.000000000000000000e+00,3.640000000000000000e+02,2.190000000000000000e+02,3.150684931506849473e+00
8.000000000000000000e+00,3.640000000000000000e+02,2.070000000000000000e+02,3.149758454106280414e+00
9.000000000000000000e+00,3.680000000000000000e+02,2.260000000000000000e+02,3.150442477876106206e+00
1.000000000000000000e+01,3.670000000000000000e+02,2.250000000000000000e+02,3.182222222222222285e+00
1.100000000000000000e+01,3.670000000000000000e+02,2.250000000000000000e+02,3.182222222222222285e+00
1.200000000000000000e+01,3.670000000000000000e+02,2.060000000000000000e+02,3.165048543689320315e+00
1.300000000000000000e+01,3.680000000000000000e+02,2.080000000000000000e+02,3.153846153846153744e+00
1.400000000000000000e+01,3.640000000000000000e+02,2.130000000000000000e+02,3.239436619718309984e+00
1.500000000000000000e+01,3.630000000000000000e+02,2.130000000000000000e+02,3.239436619718309984e+00
1.600000000000000000e+01,3.600000000000000000e+02,2.080000000000000000e+02,3.259615384615384581e+00
1.700000000000000000e+01,3.610000000000000000e+02,2.090000000000000000e+02,3.205741626794258448e+00
1.800000000000000000e+01,3.580000000000000000e+02,2.040000000000000000e+02,3.274509803921568540e+00
1.900000000000000000e+01,3.610000000000000000e+02,2.090000000000000000e+02,3.224880382775119791e+00
2.000000000000000000e+01,3.650000000000000000e+02,2.290000000000000000e+02,3.248908296943231466e+00
2.100000000000000000e+01,3.650000000000000000e+02,2.280000000000000000e+02,3.236842105263157965e+00
